lag1,lag2,lag3,lag4,lag5,vol_moy_5j,vol_moy_10j,vol_moy_20j
-0.0007607027655467391,-0.0010544286342337728,-0.0012866201577708125,-0.0008814849425107241,-0.0013860742328688502,-0.0008417149074375629,-0.006178572773933411,-0.006557009648531675
0.0010671595809981227,-0.0007777416030876338,-0.001896738656796515,-2.1395575458882377e-05,-0.0009619403863325715,-0.002046110574156046,-0.004349760711193085,-0.007283461280167103
0.0005570044158957899,-0.0007978022331371903,-0.0014604943571612239,4.5828150177840143e-05,-0.0017652916721999645,-0.0017492983024567366,-0.002471606247127056,-0.008046400733292103
-0.002981550758704543,-5.269229950499721e-05,0.0006300050299614668,-0.00019826908828690648,-0.0011268542148172855,-0.0004366773064248264,-0.002939868252724409,-0.008516347035765648
-0.0010730382055044174,-0.0006828440236859024,0.00015571714902762324,-0.0005933783832006156,-0.000702017336152494,-0.0008742088684812188,-0.005521161016076803,-0.008977281861007214
-0.0024363556876778603,-0.0011543616419658065,-0.0014018076471984386,-0.00028789174393750727,0.0011718128807842731,-0.001702844980172813,-0.0049622817896306515,-0.006563482340425253
-0.002702658763155341,-0.000677905511111021,-0.000568167888559401,-0.0017165358876809478,-0.00035686124465428293,0.00024725808179937303,-0.0018528049113228917,-0.008296697400510311
-0.00041055865585803986,-0.0011750960256904364,-0.0015138434246182442,9.170536213787273e-05,-0.0009226991096511483,-0.002269164426252246,-0.0034415775444358587,-0.005981019232422113
-0.0008521510753780603,-0.0013361172750592232,-0.0035722607281059027,-0.0009217853075824678,-0.0004840547335334122,-0.0004303850291762501,-0.002972687128931284,-0.009162165224552155
-0.0025275072548538446,-0.0007198398816399276,-0.0008794976747594774,-0.0015960916643962264,-0.0008659005397930741,-0.000969370361417532,-0.0027724779210984707,-0.007619251497089863
-0.0013761300360783935,-0.0009680077200755477,-0.0009440456051379442,-0.0005783416563645005,-0.00036713024019263685,-0.0003965988289564848,-0.003181180451065302,-0.009752875193953514
-6.1853788793087e-05,-0.0007675587548874319,-0.0033645734656602144,-0.0009354139911010861,-0.0009608726250007749,-0.0014841965166851878,-0.0028753490187227726,-0.008511514402925968
-0.0029824741650372744,-0.0009245567489415407,-0.0014933745842427015,-0.0006956409779377282,-0.0009079708252102137,-0.00011338153126416728,-0.003080829745158553,-0.007963779382407665
-0.0057058315724134445,-0.0018378117820248008,-0.0010728467023000121,-0.0006746996659785509,-0.0013260622508823872,0.000203993811737746,-0.00502036465331912,-0.007054674439132214
-0.0017692463006824255,-0.0007442773785442114,-0.001806160667911172,-0.0003134760190732777,-0.0005071157938800752,-0.0006730519235134125,-0.0049019670113921165,-0.0066454471088945866
-0.002284446731209755,-0.0026856937911361456,-0.004530879203230143,-0.002478111768141389,-0.0014313975116237998,-0.0008326362003572285,-0.005033450201153755,-0.00785897858440876
-0.0026940093375742435,-0.00039680811460129917,-0.0018389378674328327,-0.0008717655437067151,-0.00072705396451056,-0.0002957871474791318,-0.0024873327929526567,-0.0070661152713000774
-0.005208332557231188,-0.002182896016165614,-0.0007821105537004769,-0.001075804466381669,-0.0015064452309161425,-0.00027107493951916695,-0.004098051693290472,-0.005349716637283564
-0.0013703439617529511,-0.00037435442209243774,-0.002084378618746996,-0.0002391866291873157,-0.0008525095763616264,-0.0013680820120498538,-0.004218810237944126,-0.005114587023854256
-0.0006720307283103466,-0.0006955191493034363,-0.004547254182398319,-0.0010578836081549525,-0.0006157724419608712,0.0011551514035090804,-0.002991378540173173,-0.008387768641114235
-0.00403798371553421,-0.0009927666978910565,-0.0011369226267561316,-0.0010854634456336498,-0.00113588513340801,-0.0007933643646538258,-0.0029127479065209627,-0.0060844458639621735
-0.003282014513388276,-0.0017912604380398989,-0.0005416777567006648,-0.0006449572974815965,-0.0014038990484550595,-0.0006682372186332941,-0.004879073705524206,-0.005304687190800905
-0.003046974539756775,-0.0007411703700199723,-0.0016972419107332826,-0.0005141278961673379,-0.0008378489874303341,-0.00015567698574159294,-0.005282291676849127,-0.006384662818163633
-0.001509165158495307,-0.002777622314170003,-0.0026122096460312605,-0.0021460058633238077,0.00010612480400595814,-0.0014204378239810467,-0.004939527250826359,-0.007115921471267939
-0.0022498799953609705,-0.00037845686892978847,-0.0028953831642866135,-0.00039183630724437535,-0.0017147905891761184,0.0003117969317827374,-0.003767164424061775,-0.00738481804728508
0.0005637410213239491,-0.001988394185900688,0.0003694824408739805,-0.002134104957804084,-0.0005168251809664071,-0.0004374006821308285,-0.00397013034671545,-0.007003424689173698
-0.0005248126690275967,-0.00032331125112250447,-0.002830327721312642,-0.0014500085962936282,-0.001263842568732798,-0.0006893855170346797,-0.004949798807501793,-0.004638039972633123
-0.0007888100226409733,-0.0012574559077620506,-0.0005357410409487784,-0.001891320920549333,-0.0011417866917327046,-0.0013639639364555478,-0.0018323182594031096,-0.006810856983065605
-0.0017728216480463743,-0.0003543229540809989,-0.0005960100679658353,-0.00021500876755453646,-0.0003402093716431409,-0.000241368223214522,-0.003686860203742981,-0.009230920113623142
